iban,amount,date
TJ01RJYX8915131919658516,"€7597,83",22/12/2020
DE30ZEUF5582227351032491,"€2386,32",03/05/2022
ZA10QTHR7787100159561975,"€2583,07",08/05/2021
CR31CSLX2157111958475792,"€1848,64",27/10/2021
ZJ12DKWM9070280471180140,"€3125,88",28/09/2021
MC01IEHV8501188035626016,"€4806,52",15/05/2021
ZT15HFSW6569840988100756,"€461,23",18/10/2020
LP57GXIN3056172558480196,"€6396,32",22/05/2021
LP57GXIN3056172558480196,"€7436,69",25/05/2022
ZI40WWBF9188737626049510,"€394,21",28/02/2021
XI25KPTM6042498694249300,"€2100,31",05/01/2022
EV55TMCH8919184385596396,"€7817,01",31/12/2020
VA37QMCG8437852428929762,"€693,11",29/09/2021
HY94UFSX0766276800103780,"€9676,52",05/02/2021
ZA10QTHR7787100159561975,"€7668,70",13/03/2021
OC06NIHQ3445682540896305,"€596,22",20/05/2022
LG40BJYQ2783542351843180,"€164,34",21/09/2021
NV11IYUJ0247872457522336,"€9722,12",05/08/2022
HY36LHZR3643502386939455,"€9211,22",22/11/2021
DE30ZEUF5582227351032491,"€3998,16",27/08/2021
EU56HOYA8868219525668712,"€2310,38",04/06/2021
SE06PMBI1724666946267952,"€4789,82",04/01/2020
HF37RMOJ8246383870328745,"€1762,12",16/12/2021
LU00QWLD2601460964897893,"€7358,19",29/01/2020
HY36LHZR3643502386939455,"€1708,51",01/06/2022
VA37QMCG8437852428929762,"€492,67",21/09/2021
PD23WILD1239964726634228,"€6013,72",24/08/2022
MB71QQXT2596515408023571,"€4901,92",28/10/2022
HJ81JUWR1495896049004272,"€6740,04",12/08/2020
UG76HDRU1828246465536511,"€1986,88",01/05/2020
LH44PEZY4533729364383296,"€205,22",01/02/2021
LG40BJYQ2783542351843180,"€902,46",30/08/2022
DA04GCZV4378609746146065,"€9548,81",09/05/2022
ZT15HFSW6569840988100756,"€2419,80",29/01/2021
UL87SMJY0995132841158778,"€2612,53",10/09/2020
MB71QQXT2596515408023571,"€3760,30",06/03/2020
RW16JLAK0388910387065777,"€4848,71",20/01/2020
YK16DWHC2525181133357675,"€4530,01",28/02/2021
UL87SMJY0995132841158778,"€470,96",08/12/2021
EV55TMCH8919184385596396,"€9510,31",14/05/2020
PD23WILD1239964726634228,"€6575,25",21/11/2022
DA04GCZV4378609746146065,"€1222,93",06/11/2022
ZR23USPZ4041172964291836,"€2785,88",26/06/2020
LG40BJYQ2783542351843180,"€722,72",18/10/2020
MG63MBOA0937923648077673,"€6901,26",10/09/2021
TJ01RJYX8915131919658516,"€2709,90",02/05/2020
ZT15HFSW6569840988100756,"€7567,83",26/02/2022
WG55EHPY8034430200816222,"€9281,00",15/06/2021
ZA10QTHR7787100159561975,"€1114,33",24/03/2022
RO78OROD0594985604344531,"€1367,73",09/08/2021
XA28NAIG6798026498738774,"€3255,76",29/10/2020
LG40BJYQ2783542351843180,"€1803,36",18/12/2021
HJ81JUWR1495896049004272,"€7351,20",30/08/2022
IB64RWDI3050423740546318,"€3654,37",17/09/2022
VA37QMCG8437852428929762,"€4853,79",24/08/2022
MG00YLSI7343127168356658,"€3191,08",06/02/2020
IX63EVCR9164658456456181,"€8826,50",28/03/2022
MU67FMKH9598284189685918,"€896,30",08/08/2020
WB77IWTL7479335717337104,"€2818,25",12/09/2022
WG55EHPY8034430200816222,"€1508,12",11/09/2021
ZA10QTHR7787100159561975,"€2775,94",11/07/2021
ZR23USPZ4041172964291836,"€3639,28",09/04/2020
DE30ZEUF5582227351032491,"€988,15",08/04/2020
XW12RCHV9007093543843453,"€5909,44",10/01/2021
MC01IEHV8501188035626016,"€7738,70",23/03/2022
LP57GXIN3056172558480196,"€2966,80",15/11/2020
BP29TPUJ6310621823872564,"€5642,48",13/05/2020
DA04GCZV4378609746146065,"€7000,60",10/02/2022
BP29TPUJ6310621823872564,"€1939,84",30/11/2022
DK16NRGZ3074443210958974,"€4339,59",23/03/2022
AX41UZMB6176142035203942,"€7431,49",11/08/2020
FU57KYSJ7187405817063989,"€8571,95",29/03/2020
ZT15HFSW6569840988100756,"€4785,21",21/06/2022
EH78AMHE9066831125295114,"€2297,13",11/04/2022
FW13CYSE4571296548592389,"€9516,48",27/07/2021
PG29ITFN6814697311412996,"€6924,94",16/08/2020
PG29ITFN6814697311412996,"€1653,64",20/06/2021
EV55TMCH8919184385596396,"€6556,02",11/03/2021
XA28NAIG6798026498738774,"€2133,53",24/09/2022
XI25KPTM6042498694249300,"€1072,40",08/05/2022
KL92DVFG3211071211689811,"€2153,17",15/06/2022
ZX06NZJH0310079067754103,"€9291,96",14/02/2020
WG55EHPY8034430200816222,"€1752,25",10/07/2022
UN01NSQD8758182264641524,"€4443,93",24/08/2022
FU57KYSJ7187405817063989,"€110,91",28/07/2022
EH78AMHE9066831125295114,"€5709,46",24/05/2022
RB96QOGG9814514798263406,"€9210,12",24/03/2021
JL39VSWB6759168364148560,"€5982,54",17/01/2022
RW16JLAK0388910387065777,"€6452,64",29/09/2022
KX21COEK1555182209833532,"€589,61",21/11/2020
HJ81JUWR1495896049004272,"€3860,54",31/03/2021
PG29ITFN6814697311412996,"€1760,39",24/09/2021
BP29TPUJ6310621823872564,"€9816,56",29/01/2021
FW13CYSE4571296548592389,"€6368,88",28/10/2021
HF37RMOJ8246383870328745,"€5774,54",23/09/2020
ND29ASZK3936747590760083,"€7783,00",02/08/2020
TQ42FQGK7504668908121082,"€9231,95",28/08/2020
LP57GXIN3056172558480196,"€1299,72",04/05/2022
HY36LHZR3643502386939455,"€6420,69",28/08/2022
MU67FMKH9598284189685918,"€3431,27",13/07/2022
DK16NRGZ3074443210958974,"€281,32",26/02/2020
XW12RCHV9007093543843453,"€9986,60",12/03/2020
PD23WILD1239964726634228,"€827,35",04/11/2021
GE38QKDI3669855462568638,"€4692,40",11/01/2022
JD37GEUH5940847826443166,"€3763,63",23/08/2021
HY36LHZR3643502386939455,"€8227,90",30/12/2022
IX63EVCR9164658456456181,"€1863,23",24/07/2021
VA37QMCG8437852428929762,"€1872,40",20/01/2021
LG40BJYQ2783542351843180,"€6497,61",25/06/2020
WO71OALR7349870387403646,"€1385,24",14/11/2022
BP29TPUJ6310621823872564,"€2791,85",10/09/2020
XI25KPTM6042498694249300,"€7819,17",08/02/2022
ZI40WWBF9188737626049510,"€1088,15",20/07/2022
MU67FMKH9598284189685918,"€8098,07",19/02/2020
SM44WYFN9387020646075746,"€5987,25",11/04/2022
ZT15HFSW6569840988100756,"€4886,07",02/07/2022
BP29TPUJ6310621823872564,"€4808,24",15/05/2021
RW16JLAK0388910387065777,"€4243,39",08/09/2021
YK16DWHC2525181133357675,"€8478,18",09/03/2020
DE30ZEUF5582227351032491,"€249,93",01/06/2022
ZT15HFSW6569840988100756,"€4575,54",19/06/2021
HX66TEDY9432557008721813,"€2047,04",13/07/2022
XW12RCHV9007093543843453,"€2639,48",09/07/2020
WJ40UIUQ2618112143886576,"€2678,44",28/04/2022
LH44PEZY4533729364383296,"€3727,86",29/10/2021
KC15SUGY3023429585614326,"€9496,60",30/11/2021
XA28NAIG6798026498738774,"€5675,25",02/08/2022
DC32IFVW1036082114231444,"€6151,04",22/07/2021
EU56HOYA8868219525668712,"€6679,01",19/04/2021
PH94XAOK3381728775018070,"€5181,81",01/03/2022
JD37GEUH5940847826443166,"€3765,54",07/09/2021
EQ89KOZE1588776990762580,"€5970,48",11/07/2020
HJ81JUWR1495896049004272,"€3543,14",26/11/2021
CP93PHOD1189664902815922,"€3378,15",11/10/2021
NQ05SWXH3161857744818722,"€5979,71",20/07/2021
LQ72NGWI2810989838856681,"€2487,33",31/07/2020
IX63EVCR9164658456456181,"€2799,79",12/07/2021
RB96QOGG9814514798263406,"€7634,37",20/04/2022
FW13CYSE4571296548592389,"€9245,48",28/10/2020
UQ09JZFW3099511194281460,"€1322,05",23/11/2020
JD37GEUH5940847826443166,"€3600,54",14/05/2021
ZJ12DKWM9070280471180140,"€2959,62",20/08/2021
FU57KYSJ7187405817063989,"€899,20",15/07/2020
JR00QGBS4796525914237521,"€288,87",30/04/2020
BP29TPUJ6310621823872564,"€8880,19",07/11/2020
MB71QQXT2596515408023571,"€1614,10",22/03/2020
LU00QWLD2601460964897893,"€9423,46",16/05/2022
WY43SADC8995874367768131,"€7355,41",07/05/2020
HY36LHZR3643502386939455,"€9025,68",17/02/2022
CR31CSLX2157111958475792,"€610,70",29/06/2021
KX21COEK1555182209833532,"€5885,78",04/11/2021
ZI40WWBF9188737626049510,"€6329,94",02/05/2021
TJ01RJYX8915131919658516,"€9250,89",18/05/2021
UL87SMJY0995132841158778,"€4627,84",21/03/2020
ZA10QTHR7787100159561975,"€9251,33",18/01/2021
UL87SMJY0995132841158778,"€686,33",18/10/2021
KX21COEK1555182209833532,"€3025,61",04/04/2022
JL39VSWB6759168364148560,"€4615,64",30/10/2020
JD37GEUH5940847826443166,"€2682,11",11/09/2022
HJ81JUWR1495896049004272,"€3671,74",08/11/2020
GE38QKDI3669855462568638,"€25,11",03/12/2022
WO71OALR7349870387403646,"€4117,25",06/04/2021
KR77UJZD7132263261730708,"€9381,13",01/10/2022
GE38QKDI3669855462568638,"€1314,73",25/01/2020
GE52XFEW2209056170643350,"€3173,11",23/06/2021
XA28NAIG6798026498738774,"€9436,36",29/12/2022
IB64RWDI3050423740546318,"€3840,47",16/12/2020
DA04GCZV4378609746146065,"€6094,52",19/06/2021
ZI40WWBF9188737626049510,"€5576,39",10/12/2022
XI25KPTM6042498694249300,"€3009,38",13/12/2020
WO71OALR7349870387403646,"€581,57",08/05/2020
AX41UZMB6176142035203942,"€9237,46",28/10/2021
MB71QQXT2596515408023571,"€9895,72",16/05/2020
NV11IYUJ0247872457522336,"€361,61",29/07/2022
TQ42FQGK7504668908121082,"€1990,78",03/07/2020
MG00YLSI7343127168356658,"€6209,62",16/11/2021
IS66KDVL6727524589966948,"€7289,15",16/03/2022
SE06PMBI1724666946267952,"€3190,39",27/12/2020
UN01NSQD8758182264641524,"€3136,01",02/06/2022
MG00YLSI7343127168356658,"€9251,21",13/08/2020
CP93PHOD1189664902815922,"€6638,71",08/09/2020
BP29TPUJ6310621823872564,"€1343,31",12/02/2022
EQ89KOZE1588776990762580,"€1724,14",01/09/2022
RO78OROD0594985604344531,"€406,96",26/08/2022
IB64RWDI3050423740546318,"€1983,00",21/02/2022
DE70AHRX6356064073233659,"€7803,58",24/11/2021
IA64AZRF0974124059119540,"€3507,64",15/05/2021
DA04GCZV4378609746146065,"€9977,12",19/01/2021
EV55TMCH8919184385596396,"€3726,38",17/09/2022
IS66KDVL6727524589966948,"€3182,30",16/06/2022
XA28NAIG6798026498738774,"€9044,65",08/05/2021
WB77IWTL7479335717337104,"€5492,65",13/07/2022
JD37GEUH5940847826443166,"€5464,55",04/08/2021
BP29TPUJ6310621823872564,"€6655,63",30/11/2021
RB96QOGG9814514798263406,"€5393,21",07/01/2022
XA28NAIG6798026498738774,"€6521,03",11/09/2022
ZJ12DKWM9070280471180140,"€1790,58",07/02/2021
PD23WILD1239964726634228,"€3773,76",10/05/2021
KX21COEK1555182209833532,"€4905,41",11/09/2022
RO78OROD0594985604344531,"€6471,15",30/07/2021
DA04GCZV4378609746146065,"€1880,27",12/04/2022
XI25KPTM6042498694249300,"€4391,86",26/07/2022
UN01NSQD8758182264641524,"€4506,76",29/11/2021
MC01IEHV8501188035626016,"€1630,33",11/01/2022
ZR23USPZ4041172964291836,"€6595,24",13/09/2022
TJ01RJYX8915131919658516,"€9538,43",01/11/2022
DK16NRGZ3074443210958974,"€4383,78",23/04/2022
LG40BJYQ2783542351843180,"€7172,48",28/03/2020
IX63EVCR9164658456456181,"€2274,85",12/09/2020
GE52XFEW2209056170643350,"€5381,54",28/10/2021
PG29ITFN6814697311412996,"€3448,23",24/07/2020
UN01NSQD8758182264641524,"€826,61",23/09/2022
WG55EHPY8034430200816222,"€8157,88",27/11/2021
BP29TPUJ6310621823872564,"€4259,94",22/01/2022
IS65NOOT7036669168746884,"€1218,45",20/10/2022
EQ89KOZE1588776990762580,"€3853,98",23/07/2022
UG76HDRU1828246465536511,"€5310,15",25/05/2022
UQ09JZFW3099511194281460,"€1508,18",28/05/2021
LG40BJYQ2783542351843180,"€4273,53",23/12/2022
GJ55FOHC5561545662515367,"€1408,97",18/07/2022
CR31CSLX2157111958475792,"€2321,88",27/09/2022
PE04NCIT8887865280077429,"€5785,25",07/04/2020
RW16JLAK0388910387065777,"€6792,59",29/12/2020
MW63ZIOO0588568130697102,"€8657,01",22/03/2021
XT25GEWA7881352979972952,"€5742,51",20/08/2020
TJ01RJYX8915131919658516,"€8218,17",26/04/2022
FW13CYSE4571296548592389,"€9014,10",21/06/2022
FU57KYSJ7187405817063989,"€7027,78",01/09/2022
SM44WYFN9387020646075746,"€7625,37",07/02/2021
JR00QGBS4796525914237521,"€257,56",29/02/2020
HY94UFSX0766276800103780,"€8593,60",13/02/2022
MG63MBOA0937923648077673,"€9435,71",25/01/2020
AX41UZMB6176142035203942,"€7114,99",05/06/2022
NV11IYUJ0247872457522336,"€8419,72",03/08/2021
IS66KDVL6727524589966948,"€4363,25",03/04/2020
HJ81JUWR1495896049004272,"€8797,69",19/11/2021
SM44WYFN9387020646075746,"€5725,86",24/11/2020
EH78AMHE9066831125295114,"€3903,45",27/03/2022
ZT15HFSW6569840988100756,"€6435,85",27/09/2022
LG40BJYQ2783542351843180,"€3923,27",25/06/2020
VA37QMCG8437852428929762,"€3305,58",17/12/2021
JL39VSWB6759168364148560,"€909,87",04/01/2021
MB71QQXT2596515408023571,"€6751,07",02/04/2020
RW16JLAK0388910387065777,"€8615,40",02/07/2022
PE04NCIT8887865280077429,"€8682,53",29/08/2021
IA64AZRF0974124059119540,"€918,32",08/06/2022
MG63MBOA0937923648077673,"€6244,12",01/04/2022
HJ81JUWR1495896049004272,"€3792,73",10/06/2021
TJ01RJYX8915131919658516,"€1658,91",07/03/2022
SE06PMBI1724666946267952,"€7280,62",29/01/2021
UN01NSQD8758182264641524,"€4718,20",30/01/2021
EQ89KOZE1588776990762580,"€8608,77",11/08/2020
ND29ASZK3936747590760083,"€4897,93",10/05/2021
MG63MBOA0937923648077673,"€7611,01",19/05/2021
XT25GEWA7881352979972952,"€7635,47",29/05/2020
MW63ZIOO0588568130697102,"€6001,91",27/10/2022
SM44WYFN9387020646075746,"€4080,63",19/08/2022
CY23HMWJ3638338954966778,"€2344,65",14/02/2020
KR77UJZD7132263261730708,"€9005,75",05/11/2021
RO78OROD0594985604344531,"€109,41",20/04/2020
JD37GEUH5940847826443166,"€8151,65",31/01/2020
EV55TMCH8919184385596396,"€8131,33",01/03/2020
TJ01RJYX8915131919658516,"€1283,54",29/02/2020
XA28NAIG6798026498738774,"€9906,97",17/08/2022
ZR23USPZ4041172964291836,"€3778,54",06/10/2022
JR00QGBS4796525914237521,"€1709,39",07/03/2021
NV11IYUJ0247872457522336,"€3326,77",13/11/2021
MG00YLSI7343127168356658,"€9668,35",25/11/2021
ZJ12DKWM9070280471180140,"€1053,11",15/04/2020
VA37QMCG8437852428929762,"€6005,96",13/09/2020
MG00YLSI7343127168356658,"€9299,07",20/01/2021
EU56HOYA8868219525668712,"€4622,07",17/04/2020
CY23HMWJ3638338954966778,"€2370,62",02/11/2020
OC06NIHQ3445682540896305,"€6809,57",27/10/2022
PE04NCIT8887865280077429,"€5631,67",04/11/2021
JD37GEUH5940847826443166,"€5349,45",04/10/2020
ZJ12DKWM9070280471180140,"€695,63",05/06/2022
UL87SMJY0995132841158778,"€829,91",08/10/2022
UL87SMJY0995132841158778,"€4665,07",26/04/2021
FW13CYSE4571296548592389,"€420,27",24/03/2021
ZR23USPZ4041172964291836,"€8603,32",08/09/2021
DK16NRGZ3074443210958974,"€5426,94",27/06/2022
MB71QQXT2596515408023571,"€484,65",04/02/2020
XA28NAIG6798026498738774,"€5488,21",29/11/2021
GE38QKDI3669855462568638,"€9705,33",25/12/2022
PG29ITFN6814697311412996,"€1698,28",15/11/2022
LH44PEZY4533729364383296,"€3507,17",08/07/2021
XW12RCHV9007093543843453,"€5372,90",10/08/2020
XW12RCHV9007093543843453,"€4123,71",18/06/2022
MU67FMKH9598284189685918,"€1424,03",26/06/2022
XI25KPTM6042498694249300,"€6313,24",22/01/2022
ZA10QTHR7787100159561975,"€6126,31",20/11/2021
JL39VSWB6759168364148560,"€3821,73",10/05/2021
EV55TMCH8919184385596396,"€4796,90",25/01/2021
MC01IEHV8501188035626016,"€7080,02",24/03/2020
SQ68TMZF8698667528323620,"€3986,46",19/12/2020
JD37GEUH5940847826443166,"€6793,43",08/11/2021
DK16NRGZ3074443210958974,"€8220,94",31/08/2021
JL39VSWB6759168364148560,"€1549,36",12/11/2022
ZR23USPZ4041172964291836,"€211,71",07/02/2022
ZJ12DKWM9070280471180140,"€5672,86",05/11/2022
MB71QQXT2596515408023571,"€233,12",27/09/2020
JL39VSWB6759168364148560,"€8853,44",24/12/2020
EV55TMCH8919184385596396,"€7323,60",28/01/2021
BP29TPUJ6310621823872564,"€6154,57",29/08/2022
XI25KPTM6042498694249300,"€9398,93",26/04/2020
EQ89KOZE1588776990762580,"€352,94",19/07/2021
RJ92VCJA0240979129986579,"€1216,29",24/03/2021
TQ42FQGK7504668908121082,"€8798,41",06/07/2022
BP29TPUJ6310621823872564,"€5468,27",02/02/2022
ZR23USPZ4041172964291836,"€8851,89",05/06/2021
HJ81JUWR1495896049004272,"€6123,37",20/11/2021
YK16DWHC2525181133357675,"€2186,26",19/07/2021
KR77UJZD7132263261730708,"€1765,98",10/03/2021
LP57GXIN3056172558480196,"€1620,98",27/09/2022
MC01IEHV8501188035626016,"€4146,77",09/10/2022
PD23WILD1239964726634228,"€7864,00",07/02/2020
ND29ASZK3936747590760083,"€1083,54",15/06/2022
JL39VSWB6759168364148560,"€4707,91",15/07/2021
BP29TPUJ6310621823872564,"€8780,63",14/02/2022
ZT15HFSW6569840988100756,"€6559,13",03/04/2020
GE38QKDI3669855462568638,"€9398,08",10/08/2021
EQ89KOZE1588776990762580,"€6490,38",13/05/2022
OC06NIHQ3445682540896305,"€9997,41",25/05/2022
NV11IYUJ0247872457522336,"€3177,00",02/03/2022
XI25KPTM6042498694249300,"€9728,01",08/07/2020
MB71QQXT2596515408023571,"€5900,63",10/07/2020
ZJ12DKWM9070280471180140,"€4026,17",03/12/2020
PG29ITFN6814697311412996,"€9609,49",06/04/2022
IS65NOOT7036669168746884,"€9940,52",02/07/2020
ND29ASZK3936747590760083,"€7623,28",18/08/2022
EV55TMCH8919184385596396,"€8099,01",27/07/2020
XA28NAIG6798026498738774,"€6635,51",05/05/2021
ZR23USPZ4041172964291836,"€5944,52",11/05/2021
JL39VSWB6759168364148560,"€9299,22",22/05/2020
IX63EVCR9164658456456181,"€6081,58",05/08/2022
DK16NRGZ3074443210958974,"€5078,97",18/10/2020
YK16DWHC2525181133357675,"€8591,01",30/10/2022
LH44PEZY4533729364383296,"€5175,03",23/11/2021
SQ68TMZF8698667528323620,"€8532,91",27/06/2021
QT17CEZY5756286371227346,"€7894,14",11/02/2021
KX21COEK1555182209833532,"€3023,23",18/05/2021
ND29ASZK3936747590760083,"€7100,19",05/01/2021
ZA10QTHR7787100159561975,"€5127,25",23/07/2021
PG29ITFN6814697311412996,"€2473,97",04/08/2020
ZA10QTHR7787100159561975,"€313,20",26/08/2022
WY43SADC8995874367768131,"€3006,74",05/11/2022
RB96QOGG9814514798263406,"€3266,28",20/03/2020
GE52XFEW2209056170643350,"€3987,41",04/08/2020
WO71OALR7349870387403646,"€5128,37",04/06/2022
IB64RWDI3050423740546318,"€2440,07",08/02/2020
WY43SADC8995874367768131,"€9106,12",18/07/2021
UN01NSQD8758182264641524,"€7210,12",10/05/2021
PG29ITFN6814697311412996,"€6989,37",14/07/2020
KL92DVFG3211071211689811,"€7228,15",28/07/2021
SM44WYFN9387020646075746,"€2457,35",09/02/2021
ZR23USPZ4041172964291836,"€1065,98",20/09/2022
IB64RWDI3050423740546318,"€333,11",03/11/2022
SM44WYFN9387020646075746,"€2171,32",06/07/2022
SM44WYFN9387020646075746,"€4804,73",08/05/2022
EH78AMHE9066831125295114,"€5735,41",02/04/2022
IS66KDVL6727524589966948,"€3753,17",08/09/2021
DE30ZEUF5582227351032491,"€4820,69",27/05/2022
PG29ITFN6814697311412996,"€8108,84",26/11/2021
DK16NRGZ3074443210958974,"€3234,09",20/03/2020
WB77IWTL7479335717337104,"€1330,92",25/10/2022
RW16JLAK0388910387065777,"€1618,48",22/04/2020
IS66KDVL6727524589966948,"€9580,15",03/07/2022
YK16DWHC2525181133357675,"€1218,29",18/12/2021
JL39VSWB6759168364148560,"€9911,96",14/04/2021
EV55TMCH8919184385596396,"€5381,51",24/10/2021
EH78AMHE9066831125295114,"€9369,38",30/11/2020
FW13CYSE4571296548592389,"€8183,09",28/04/2022
HY94UFSX0766276800103780,"€8479,62",02/12/2022
ZI40WWBF9188737626049510,"€3068,83",10/05/2022
PG29ITFN6814697311412996,"€1846,50",18/01/2020
WY43SADC8995874367768131,"€8644,94",24/11/2021
KC15SUGY3023429585614326,"€9929,03",26/11/2022
JL39VSWB6759168364148560,"€7935,67",09/07/2021
LH44PEZY4533729364383296,"€3625,18",18/05/2021
GE38QKDI3669855462568638,"€1270,84",08/04/2021
CY23HMWJ3638338954966778,"€3359,80",19/03/2020
ZA10QTHR7787100159561975,"€7224,88",03/09/2021
PG29ITFN6814697311412996,"€9145,53",21/04/2020
CP93PHOD1189664902815922,"€9754,66",26/04/2021
RW16JLAK0388910387065777,"€8181,36",25/08/2022
KR77UJZD7132263261730708,"€8490,78",16/08/2022
WO71OALR7349870387403646,"€6544,11",31/10/2020
JD37GEUH5940847826443166,"€7063,65",29/06/2021
TQ42FQGK7504668908121082,"€8898,66",30/11/2021
EV55TMCH8919184385596396,"€2944,58",02/04/2021
BP29TPUJ6310621823872564,"€9015,81",23/02/2021
JR00QGBS4796525914237521,"€4787,89",11/03/2022
MG00YLSI7343127168356658,"€5434,84",12/04/2020
WO71OALR7349870387403646,"€6686,29",15/06/2022
HF37RMOJ8246383870328745,"€1567,22",09/11/2021
SE06PMBI1724666946267952,"€4478,88",26/05/2020
JL39VSWB6759168364148560,"€8916,11",13/10/2022
MB71QQXT2596515408023571,"€5441,29",31/05/2021
JD37GEUH5940847826443166,"€4112,38",09/04/2022
GJ55FOHC5561545662515367,"€4017,35",25/11/2020
IB64RWDI3050423740546318,"€4021,84",06/09/2021
DE70AHRX6356064073233659,"€5963,24",01/04/2022
LG40BJYQ2783542351843180,"€383,44",12/01/2021
GE52XFEW2209056170643350,"€737,85",22/01/2021
EV55TMCH8919184385596396,"€9787,23",01/10/2022
JR00QGBS4796525914237521,"€3233,26",21/03/2022
CR31CSLX2157111958475792,"€7564,30",16/10/2022
IB64RWDI3050423740546318,"€307,64",08/02/2021
XI25KPTM6042498694249300,"€7581,46",07/01/2022
WJ40UIUQ2618112143886576,"€9064,02",25/10/2021
DK16NRGZ3074443210958974,"€134,78",31/08/2022
LU00QWLD2601460964897893,"€6559,74",14/09/2020
JR00QGBS4796525914237521,"€644,37",11/05/2020
WY43SADC8995874367768131,"€6475,58",09/07/2020
TQ42FQGK7504668908121082,"€9040,96",16/07/2020
LG40BJYQ2783542351843180,"€7199,22",08/01/2021
MG00YLSI7343127168356658,"€7995,53",03/05/2021
JD37GEUH5940847826443166,"€9041,78",10/09/2020
XI25KPTM6042498694249300,"€9904,76",23/06/2021
QT17CEZY5756286371227346,"€5219,95",28/11/2021
RB96QOGG9814514798263406,"€8497,53",30/05/2021
XA28NAIG6798026498738774,"€4328,00",08/06/2022
QT17CEZY5756286371227346,"€135,16",23/12/2020
LQ72NGWI2810989838856681,"€533,49",04/03/2022
CY23HMWJ3638338954966778,"€5955,97",11/09/2021
UG76HDRU1828246465536511,"€6417,59",13/09/2021
IX63EVCR9164658456456181,"€3317,09",09/01/2020
LG40BJYQ2783542351843180,"€6261,89",27/01/2020
UL87SMJY0995132841158778,"€520,04",16/04/2022
XI25KPTM6042498694249300,"€4892,77",20/01/2022
ZT15HFSW6569840988100756,"€5614,89",30/11/2021
NQ05SWXH3161857744818722,"€5511,37",26/11/2022
MB71QQXT2596515408023571,"€2033,59",05/09/2020
KL92DVFG3211071211689811,"€8113,87",17/09/2021
WB77IWTL7479335717337104,"€4300,09",13/06/2020
ZA10QTHR7787100159561975,"€7103,04",01/10/2021
HY36LHZR3643502386939455,"€3586,14",09/07/2021
ZJ12DKWM9070280471180140,"€9729,51",28/11/2022
RB96QOGG9814514798263406,"€7906,73",28/07/2020
KL92DVFG3211071211689811,"€2795,80",05/06/2020
MC01IEHV8501188035626016,"€1324,92",08/11/2021
ZI40WWBF9188737626049510,"€7508,70",19/04/2021
PD23WILD1239964726634228,"€3742,64",28/01/2022
LU00QWLD2601460964897893,"€6062,69",21/04/2021
ND29ASZK3936747590760083,"€8458,73",18/01/2021
PD23WILD1239964726634228,"€1865,12",03/04/2020
NV11IYUJ0247872457522336,"€1913,09",20/06/2022
RJ92VCJA0240979129986579,"€3863,67",20/12/2020
WG55EHPY8034430200816222,"€3890,52",08/12/2020
GE52XFEW2209056170643350,"€6666,45",03/07/2021
ZA10QTHR7787100159561975,"€5824,48",21/04/2020
HF37RMOJ8246383870328745,"€2036,24",16/04/2021
PH94XAOK3381728775018070,"€6174,57",06/09/2022
GJ55FOHC5561545662515367,"€4211,40",01/06/2021
IX63EVCR9164658456456181,"€1364,31",06/07/2022
KR77UJZD7132263261730708,"€7304,34",05/04/2020
HY94UFSX0766276800103780,"€9665,85",29/09/2022
WB77IWTL7479335717337104,"€7061,42",21/05/2022
HF37RMOJ8246383870328745,"€4254,73",29/05/2020
IB64RWDI3050423740546318,"€2730,35",14/08/2021
XA28NAIG6798026498738774,"€8497,57",20/06/2022
PE04NCIT8887865280077429,"€9163,81",22/11/2022
ND29ASZK3936747590760083,"€9938,69",18/09/2020
IS65NOOT7036669168746884,"€4315,56",31/08/2020
KL92DVFG3211071211689811,"€9015,06",23/06/2020
XW12RCHV9007093543843453,"€300,20",23/07/2022
LG40BJYQ2783542351843180,"€5168,98",04/02/2021
UL87SMJY0995132841158778,"€2506,12",03/05/2020
NV11IYUJ0247872457522336,"€5723,55",07/01/2020
LQ72NGWI2810989838856681,"€8492,52",07/12/2020
PD23WILD1239964726634228,"€5656,75",07/08/2021
TJ01RJYX8915131919658516,"€5618,25",31/05/2022
XI25KPTM6042498694249300,"€2879,57",08/11/2021
WG55EHPY8034430200816222,"€1174,31",08/10/2022
HF37RMOJ8246383870328745,"€6814,12",10/06/2020
LU00QWLD2601460964897893,"€6565,02",14/03/2020
IB64RWDI3050423740546318,"€8766,00",17/11/2021
MW63ZIOO0588568130697102,"€984,63",04/10/2022
KR77UJZD7132263261730708,"€7689,18",21/02/2021
WG55EHPY8034430200816222,"€703,46",06/04/2020
ZR23USPZ4041172964291836,"€4063,27",05/10/2021
MG63MBOA0937923648077673,"€4568,52",03/04/2020
PD23WILD1239964726634228,"€1730,96",29/04/2021
IX63EVCR9164658456456181,"€1935,90",08/09/2022
KX21COEK1555182209833532,"€6807,72",17/07/2022
ZJ12DKWM9070280471180140,"€2175,69",28/01/2020
MB71QQXT2596515408023571,"€4381,92",04/04/2022
JL39VSWB6759168364148560,"€9514,96",09/09/2022
KX21COEK1555182209833532,"€9999,25",02/09/2022
DE30ZEUF5582227351032491,"€5135,92",01/12/2020
EH78AMHE9066831125295114,"€2790,17",30/07/2022
DA04GCZV4378609746146065,"€8129,18",18/09/2020
JR00QGBS4796525914237521,"€8937,74",01/06/2022
DA04GCZV4378609746146065,"€6620,76",06/04/2020
TJ01RJYX8915131919658516,"€6437,76",18/04/2022
